Student_ID,Name,Class,Math,Science,English,History,Geography
S0043,Ava Davis,10,94.7,91.7,76.1,77.9,100.0
S0044,John Brown,10,74.6,61.2,77.1,64.7,76.7
S0045,Noah Taylor,8,71.8,63.3,56.4,62.6,63.3
S0046,Sarah Taylor,10,80.7,86.6,86.2,65.8,81.2
S0047,Noah Johnson,9,43.9,30.2,37.7,27.6,27.2
S0048,Olivia Brown,9,67.6,68.3,56.6,54.9,65.6
S0049,Emma Davis,10,100.0,100.0,90.0,98.7,92.2
S0050,Ava Wilson,9,65.1,59.2,72.4,70.9,70.7
S0051,Noah Wilson,8,61.7,70.6,64.4,69.7,61.3
S0052,Noah Smith,8,87.8,63.0,72.8,74.3,68.7
S0053,Noah Taylor,9,81.5,74.7,89.9,67.4,83.0
S0054,Noah Davis,10,39.9,42.0,27.5,28.5,32.3
S0055,Sarah Davis,10,39.5,41.3,39.2,35.2,23.1
S0056,Michael Taylor,9,64.1,66.3,76.4,65.5,57.1
S0057,David Johnson,10,54.0,57.5,60.4,54.6,44.8
S0058,David Lee,10,97.9,85.9,85.1,97.8,79.3
S0059,John Wilson,9,64.8,60.5,58.0,66.9,63.7
S0060,Emma Smith,9,20.8,39.7,20.5,26.5,36.2
S0061,Sarah Davis,10,43.4,39.3,36.7,50.5,53.6
S0062,Ava Johnson,9,35.7,21.7,24.0,26.5,27.4
S0063,Noah Lee,8,59.9,59.2,60.6,55.2,70.2
S0064,John Taylor,10,48.0,49.7,63.0,69.2,67.3
S0065,David Davis,9,73.8,51.2,66.9,57.3,60.3
S0066,David Lee,9,88.1,95.2,73.2,71.4,91.5
S0067,John Lee,10,84.0,87.7,82.7,88.2,91.9
S0068,Noah Brown,10,59.7,52.1,64.2,64.4,65.7
S0069,David Smith,8,39.9,18.9,25.6,29.4,41.4
S0070,Michael Johnson,9,70.9,74.4,86.7,75.0,56.5
S0071,Olivia Wilson,8,83.5,86.8,81.6,68.5,72.0
S0072,Michael Johnson,9,74.7,68.9,72.7,75.2,67.9
S0073,Olivia Taylor,9,83.1,91.6,95.5,80.8,90.3
S0074,John Wilson,9,47.9,49.6,34.8,48.1,59.3
S0075,Noah Smith,10,96.1,100.0,97.5,100.0,85.9
S0076,Noah Brown,9,58.4,39.4,53.0,40.8,61.3
S0077,Olivia Brown,9,70.5,84.9,70.1,70.2,68.0
S0078,Sarah Davis,9,25.4,35.7,40.8,20.7,29.3
S0079,Emma Lee,8,55.4,57.4,41.7,55.0,48.6
S0080,David Taylor,8,94.7,83.1,95.2,80.0,87.1
S0081,Olivia Davis,10,65.1,62.6,69.7,62.3,48.8
S0082,Sarah Johnson,8,82.1,81.7,81.0,81.8,84.0
S0083,Sarah Taylor,8,66.6,68.0,54.4,74.0,74.6
S0084,Michael Wilson,10,70.0,67.0,56.0,54.1,72.2
S0085,Michael Smith,8,86.9,85.1,91.7,86.7,83.8
S0086,John Smith,9,57.7,56.4,61.8,75.0,61.3
S0087,Noah Davis,10,34.4,49.8,15.4,50.6,36.7
S0088,Ava Johnson,9,68.7,60.9,62.5,60.4,66.1
S0089,Ava Wilson,8,60.3,68.1,75.3,76.9,51.5
S0090,Olivia Lee,8,75.7,76.3,65.2,63.7,64.1
S0091,Olivia Wilson,10,26.9,34.4,48.3,46.1,40.4
S0092,Sarah Davis,8,52.9,44.3,48.4,52.5,45.1
S0093,Sarah Johnson,10,52.6,64.4,50.6,60.6,54.0
S0094,Emma Johnson,8,42.9,45.9,62.4,54.5,58.5
S0095,Emma Brown,8,46.5,50.8,57.6,42.0,38.1
S0096,Ava Davis,10,52.3,53.3,68.3,56.7,55.9
S0097,David Brown,10,36.9,52.0,56.6,55.7,58.8
S0098,Olivia Smith,10,84.5,81.0,81.4,81.7,75.9
S0099,Michael Smith,10,89.8,83.0,84.7,73.7,74.7
S0100,Michael Clark,8,75.0,56.5,53.0,52.3,61.7
S0101,Michael Clark,10,62.0,64.9,64.3,72.1,59.1
S0102,Sarah Davis,10,68.0,68.5,61.8,87.6,53.7
S0103,Sarah Brown,8,63.0,42.3,54.9,55.9,56.0
S0104,Noah Clark,8,60.5,45.7,45.2,36.5,43.4
S0105,Michael Taylor,10,59.4,61.4,54.4,44.2,60.4
S0106,Michael Davis,8,47.7,68.7,56.2,59.3,60.0
S0107,Noah Johnson,10,48.4,52.5,22.2,57.5,56.1
S0108,Ava Brown,8,71.5,58.5,69.4,58.3,59.9
S0109,John Smith,8,62.6,81.0,82.2,76.1,74.1
S0110,Sarah Clark,8,43.8,46.8,43.6,41.6,30.1
S0111,Emma Johnson,8,84.0,71.6,65.0,72.7,60.2
S0112,Ava Wilson,10,67.0,68.2,75.0,59.1,71.9
S0113,Ava Brown,10,82.7,73.8,73.4,58.4,82.8
S0114,Noah Lee,10,66.7,64.6,68.7,70.2,56.0
S0115,David Wilson,10,41.6,37.3,50.5,51.1,38.5
S0116,Sarah Taylor,8,48.3,30.0,48.1,44.5,44.6
S0117,John Taylor,10,59.3,68.6,58.7,69.1,70.6
S0118,Sarah Davis,9,74.2,83.3,62.4,78.1,67.8
S0119,Ava Johnson,9,40.1,34.4,26.2,23.2,17.1
S0120,Michael Davis,10,81.9,60.2,77.0,79.1,74.8
S0121,Emma Lee,10,76.5,89.6,81.6,87.5,68.8
S0122,John Davis,10,70.7,79.4,69.4,66.9,59.4
S0123,Ava Smith,9,73.5,74.8,75.4,86.2,75.5
S0124,Noah Johnson,9,56.9,53.7,64.5,45.7,57.5
S0125,Noah Smith,10,67.2,66.0,61.1,59.1,62.4
S0126,Emma Johnson,8,47.4,55.7,43.2,40.7,36.5
S0127,Emma Brown,8,28.6,19.7,31.9,23.4,34.6
S0128,Ava Wilson,9,91.8,82.1,92.5,86.7,82.8
S0129,Ava Smith,8,52.1,43.2,36.0,48.1,44.5
S0130,Emma Lee,8,63.1,53.7,54.4,50.2,58.4
S0131,Noah Wilson,10,36.6,42.8,50.0,43.7,46.3
S0132,Michael Clark,10,60.1,53.6,55.2,44.2,56.6
S0133,Olivia Lee,9,66.4,77.0,64.5,70.1,68.9
S0134,Sarah Brown,9,59.4,57.3,51.4,56.9,63.4
S0135,David Lee,9,58.6,68.4,77.5,75.1,66.6
S0136,Michael Smith,10,66.1,92.6,79.6,75.2,68.4
S0137,Emma Clark,9,80.4,67.1,67.7,69.0,68.7
S0138,Sarah Johnson,8,71.5,64.6,71.9,63.5,68.1
S0139,Sarah Taylor,9,75.3,76.4,100.0,93.0,82.6
S0140,John Smith,9,56.6,59.5,63.4,45.7,58.4
S0141,Michael Johnson,10,60.2,72.3,70.5,78.0,71.6
S0142,Ava Johnson,10,94.8,100.0,83.9,94.3,81.1
S0143,Sarah Clark,10,84.9,74.5,85.2,90.7,90.8
S0144,Emma Lee,9,44.3,54.3,47.1,45.7,44.4
S0145,David Johnson,9,69.8,61.0,59.5,59.7,66.2
S0146,Noah Brown,9,79.9,93.6,88.6,77.0,76.4
S0147,Olivia Brown,8,65.6,60.3,65.1,71.8,72.4
S0148,David Lee,10,67.0,80.3,78.9,69.3,68.1
S0149,Noah Johnson,10,68.5,68.2,52.8,63.8,66.9
S0150,Michael Smith,10,48.6,58.9,55.8,63.0,54.2
S0151,Michael Taylor,8,56.7,75.2,70.8,77.4,50.0
S0152,John Clark,8,68.0,55.2,77.3,55.8,52.7
S0153,David Wilson,10,59.9,60.1,61.3,59.3,64.2
S0154,Michael Lee,9,63.5,63.0,61.3,78.3,67.2
S0155,Michael Smith,10,39.7,39.7,50.1,60.7,68.0
S0156,Ava Davis,9,68.5,80.8,87.2,70.8,78.6
S0157,John Brown,9,100.0,100.0,89.5,100.0,100.0
S0158,Emma Davis,9,44.4,31.4,28.9,36.1,36.7
S0159,Ava Davis,10,64.4,73.4,92.4,70.8,79.4
S0160,Olivia Taylor,9,66.5,51.1,58.0,57.0,48.5
S0161,Michael Smith,10,69.2,77.3,65.8,94.9,73.5
S0162,David Clark,8,60.7,61.1,65.8,67.7,57.4
S0163,Olivia Wilson,9,89.9,70.5,78.1,82.9,88.9
S0164,Emma Smith,10,85.9,92.6,91.0,70.7,87.3
S0165,Emma Lee,10,64.1,68.0,83.2,64.6,62.8
S0166,David Brown,10,82.3,99.7,86.6,93.3,82.6
S0167,Michael Taylor,8,38.7,28.3,23.6,31.1,32.0
S0168,Sarah Taylor,10,100.0,83.4,97.1,55.7,88.8
S0169,Olivia Brown,10,64.9,81.2,65.8,76.8,67.1
S0170,Emma Clark,10,82.3,87.7,74.4,98.0,77.4
S0171,Ava Brown,8,46.6,51.7,31.8,29.9,48.6
S0172,David Lee,10,44.2,61.6,39.6,64.3,49.2
S0173,Olivia Brown,10,67.3,62.5,60.6,45.6,64.1
S0174,Olivia Clark,10,65.2,64.1,55.7,72.6,54.4
S0175,Emma Wilson,8,79.1,68.6,72.4,69.9,70.6
S0176,David Smith,10,92.4,72.4,73.2,64.0,81.3
S0177,Michael Johnson,8,34.5,35.0,12.0,40.7,34.6
S0178,Olivia Clark,9,79.3,91.7,72.6,90.2,82.6
S0179,Emma Clark,9,70.8,67.4,61.8,68.4,71.5
S0180,John Davis,9,57.5,51.4,57.3,66.8,67.8
S0181,Noah Clark,10,46.6,29.4,54.0,38.6,46.3
S0182,Emma Clark,8,72.7,86.8,68.5,58.6,71.5
S0183,John Lee,9,19.0,26.1,33.8,32.3,22.2
S0184,Sarah Brown,9,68.1,70.6,75.6,89.8,67.4
S0185,John Taylor,9,53.1,39.3,41.2,50.6,36.8
S0186,Michael Davis,8,65.0,54.4,59.6,50.4,66.4
S0187,Sarah Brown,8,76.6,74.9,63.0,51.4,57.2
S0188,Olivia Smith,8,80.0,81.0,78.0,77.3,84.9
S0189,Ava Davis,9,64.9,73.5,63.9,49.8,54.8
S0190,Sarah Brown,9,73.4,54.7,52.4,54.6,41.0
S0191,John Clark,9,48.8,68.7,49.7,60.4,63.8
S0192,Olivia Wilson,9,70.6,87.8,93.7,74.3,82.0
S0193,John Smith,8,84.3,80.8,77.4,80.2,67.3
S0194,John Taylor,8,52.6,65.0,55.6,64.0,50.5
S0195,Olivia Wilson,9,61.5,66.6,62.8,57.2,65.0
S0196,Ava Wilson,10,35.6,43.1,39.7,38.9,51.3
S0197,Michael Lee,8,73.8,69.8,64.7,56.0,68.4
S0198,Ava Taylor,10,29.6,52.6,37.8,34.6,35.5
S0199,John Wilson,9,76.0,70.2,72.5,77.5,86.0
S0200,Michael Brown,8,71.1,67.5,59.9,68.8,53.0
S0201,Olivia Taylor,9,95.5,100.0,90.6,100.0,100.0
S0202,Michael Clark,8,42.2,51.0,44.9,49.8,67.4
S0203,Sarah Lee,8,61.0,60.3,68.3,61.6,42.1
S0204,Sarah Wilson,9,82.7,96.7,88.6,96.5,93.4
S0205,Olivia Smith,9,81.1,83.1,100.0,92.5,78.7
S0206,Emma Wilson,10,55.2,41.6,61.3,53.5,52.1
S0207,Michael Wilson,8,65.8,69.1,79.4,71.5,65.6
S0208,John Davis,10,63.3,56.6,71.8,63.9,71.9
S0209,Olivia Smith,8,69.8,56.0,84.7,64.7,69.0
S0210,Michael Lee,8,49.0,55.3,47.9,58.4,46.9
S0211,Olivia Davis,10,69.5,67.9,43.5,59.5,62.6
S0212,Noah Lee,10,51.3,44.0,36.3,42.9,43.9
S0213,Sarah Wilson,9,63.8,72.1,72.0,67.8,58.1
S0214,Noah Taylor,8,76.5,57.1,73.8,70.2,59.4
S0215,John Davis,8,59.8,50.9,64.0,59.1,77.7
S0216,John Davis,9,42.5,55.3,50.1,35.5,34.4
S0217,Noah Wilson,9,93.7,72.8,84.3,68.1,80.1
S0218,Sarah Smith,10,75.3,76.1,77.6,74.3,68.1
S0219,David Clark,8,39.6,48.3,46.3,55.6,58.2
S0220,John Johnson,8,64.5,61.5,52.1,67.7,75.1
S0221,Olivia Brown,10,51.3,36.3,54.3,37.1,46.0
S0222,Emma Johnson,8,47.2,53.5,49.8,64.2,36.8
S0223,David Davis,8,64.8,57.9,51.8,53.8,45.7
S0224,Michael Clark,9,79.5,81.5,80.1,78.1,81.9
S0225,David Brown,9,43.3,46.8,50.0,47.2,53.0
S0226,Olivia Clark,9,76.8,77.8,70.0,61.8,61.9
S0227,Sarah Smith,10,42.7,47.1,46.5,69.0,63.3
S0228,David Lee,10,67.4,72.8,57.4,80.3,60.7
S0229,Emma Davis,8,73.4,84.1,61.6,67.9,75.1
S0230,Noah Smith,10,64.1,90.2,74.6,72.2,93.9
S0231,Ava Wilson,9,46.6,62.6,65.7,71.3,54.9
S0232,Ava Johnson,8,32.0,39.6,42.6,37.4,43.8
S0233,John Clark,10,42.8,27.8,45.4,41.1,33.4
S0234,Emma Lee,8,54.0,46.3,50.9,68.4,61.9
S0235,Emma Clark,9,56.6,55.7,44.4,50.7,41.4
S0236,Ava Taylor,10,79.6,65.6,74.9,89.6,63.3
S0237,Sarah Johnson,8,61.9,52.4,63.7,59.9,55.6
S0238,Ava Taylor,8,100.0,100.0,100.0,100.0,99.7
S0239,Noah Smith,9,40.7,29.1,46.2,32.7,35.0
S0240,Ava Smith,10,61.8,58.8,68.7,53.9,76.3
S0241,Michael Taylor,8,54.2,46.9,53.7,45.1,41.1
S0242,Michael Taylor,9,48.6,50.4,53.6,66.7,71.4
S0243,Sarah Wilson,9,74.3,61.7,53.2,72.5,57.1
S0244,Michael Lee,8,37.7,21.9,30.3,28.4,41.1
S0245,Noah Lee,10,70.9,73.4,75.0,61.2,61.1
S0246,Olivia Taylor,10,94.4,94.0,100.0,97.7,95.8
S0247,Noah Lee,9,61.3,56.7,61.5,66.2,54.2
S0248,Michael Johnson,8,46.7,74.3,66.8,73.0,66.8
S0249,John Brown,8,84.2,80.7,75.3,83.1,88.2
S0250,Olivia Johnson,9,61.9,60.6,67.2,56.4,74.8
S0251,John Davis,9,55.7,59.9,59.5,63.0,65.6
S0252,Olivia Taylor,9,34.6,34.3,24.5,3.9,25.7
S0253,Michael Johnson,8,75.1,74.5,84.5,78.7,77.1
S0254,David Wilson,9,54.5,64.2,56.5,84.2,57.3
S0255,Michael Wilson,8,48.1,42.9,44.5,37.1,41.3
S0256,Olivia Davis,10,68.0,60.5,80.5,65.5,58.3
S0257,Noah Taylor,10,57.0,62.2,63.0,56.0,52.6
S0258,Olivia Smith,9,58.2,60.5,54.1,53.2,58.9
S0259,Olivia Smith,8,83.4,78.7,77.4,83.4,59.8
S0260,Sarah Lee,10,35.3,46.2,45.2,47.8,43.6
S0261,Michael Wilson,8,83.6,82.5,60.2,83.4,94.3
S0262,Emma Taylor,10,53.4,48.6,35.8,49.4,52.0
S0263,Michael Brown,8,40.9,62.3,54.4,54.9,50.1
S0264,Olivia Wilson,9,97.6,100.0,93.3,100.0,85.0
S0265,Olivia Clark,8,78.8,82.6,85.4,84.6,87.1
S0266,David Wilson,8,64.0,78.1,76.0,68.5,48.4
S0267,Emma Brown,10,43.1,52.2,47.8,36.7,59.2
S0268,David Wilson,10,55.6,62.0,48.5,52.6,55.2
S0269,Sarah Smith,8,81.3,68.8,69.2,75.8,81.2
S0270,David Smith,10,55.9,68.0,63.4,55.3,52.2
S0271,Ava Smith,8,54.6,58.1,62.7,46.7,71.3
S0272,Emma Wilson,8,54.5,70.5,62.6,65.2,64.1
S0273,Noah Smith,8,75.8,84.7,79.9,72.9,59.3
S0274,Sarah Lee,9,38.6,39.3,24.4,42.7,31.4
S0275,David Davis,8,56.9,57.7,54.0,54.4,61.9
S0276,Noah Johnson,9,76.8,76.5,80.0,65.2,85.4
S0277,Noah Brown,8,36.0,39.6,37.3,47.1,57.8
S0278,Olivia Lee,8,60.5,74.7,69.6,67.7,70.4
S0279,Ava Clark,9,71.9,46.9,58.8,38.0,47.5
S0280,Noah Taylor,10,78.3,63.4,66.8,76.3,59.2
S0281,David Smith,10,52.4,46.5,57.0,65.3,48.2
S0282,Sarah Wilson,9,94.2,83.0,88.1,98.1,100.0
S0283,Olivia Wilson,8,66.9,59.8,72.7,78.2,67.3
S0284,Emma Wilson,10,30.2,49.5,43.8,49.6,56.3
S0285,Ava Lee,10,84.3,98.5,74.6,80.3,80.3
S0286,Olivia Johnson,10,62.3,50.1,55.0,60.0,55.6
S0287,Michael Smith,10,64.5,42.8,62.2,41.6,53.7
S0288,John Brown,10,66.7,77.6,60.6,58.4,75.7
S0289,Olivia Lee,10,56.2,51.7,49.1,51.6,57.4
S0290,Olivia Smith,9,85.7,90.1,65.7,78.6,76.7
S0291,John Taylor,9,56.1,50.8,59.9,56.1,58.6
S0292,John Smith,8,52.3,50.4,57.5,58.1,54.3
S0293,Sarah Clark,8,41.9,53.5,58.9,63.8,48.5
S0294,Ava Smith,10,57.3,62.4,44.9,65.5,61.1
S0295,Noah Taylor,10,91.6,81.2,97.3,76.0,82.5
S0296,Noah Clark,10,65.9,71.5,70.6,77.4,79.4
S0297,Emma Clark,8,97.9,91.2,94.1,86.0,89.1
S0298,Michael Taylor,9,100.0,91.5,100.0,100.0,92.0
S0299,David Taylor,8,54.9,52.1,41.0,51.5,62.8
S0300,Ava Davis,10,73.5,52.2,62.2,39.3,78.9
S0301,David Taylor,8,41.0,43.0,48.0,65.9,53.7
S0302,Ava Wilson,8,40.0,59.0,75.8,57.5,49.9
S0303,Noah Lee,9,51.1,57.7,57.7,50.6,52.9
S0304,Michael Lee,10,55.6,53.2,61.3,63.9,59.5
S0305,Olivia Taylor,10,44.2,48.0,58.2,45.8,45.7
S0306,Noah Johnson,8,57.5,72.4,66.0,64.2,58.0
S0307,Noah Johnson,8,31.4,53.3,38.0,42.0,60.9
S0308,Ava Davis,8,92.9,82.4,87.4,92.1,78.5
S0309,Emma Brown,8,57.3,58.1,38.7,49.9,64.9
S0310,John Wilson,9,100.0,100.0,100.0,100.0,99.2
S0311,Sarah Johnson,8,65.9,54.7,59.8,67.8,62.3
S0312,Emma Johnson,8,71.2,55.8,45.4,71.2,83.1
S0313,David Wilson,9,42.7,48.0,42.0,44.2,44.9
S0314,Michael Brown,8,91.4,97.1,97.9,100.0,90.6
S0315,David Brown,8,79.9,92.0,81.4,100.0,74.0
S0316,Ava Brown,8,91.2,62.7,75.9,72.7,78.8
S0317,Sarah Johnson,8,48.3,36.6,37.1,44.8,37.7
S0318,Emma Davis,9,65.1,72.4,58.3,70.1,68.0
S0319,Emma Brown,10,51.2,46.9,46.9,57.9,37.6
S0320,Noah Clark,10,80.7,73.7,89.1,84.0,100.0
S0321,Ava Clark,8,90.4,81.3,75.6,76.1,87.6
S0322,Noah Johnson,8,61.6,52.1,76.7,54.6,66.7
S0323,Noah Brown,9,30.4,18.9,19.6,16.9,17.2
S0324,Sarah Lee,9,58.2,60.5,52.2,45.5,62.0
S0325,Olivia Taylor,10,79.5,91.0,76.9,76.0,73.5
S0326,Sarah Davis,10,85.6,75.1,72.4,99.0,76.0
S0327,Emma Taylor,9,83.2,80.5,72.6,87.4,69.0
S0328,David Lee,8,39.5,40.3,40.0,32.6,34.8
S0329,Noah Davis,8,65.6,84.5,86.1,64.4,58.6
S0330,John Brown,8,78.1,77.7,86.3,92.6,76.7
S0331,Emma Davis,8,50.7,35.1,25.1,47.9,44.8
S0332,John Wilson,10,64.4,77.7,40.4,65.5,62.3
S0333,David Davis,8,63.5,66.8,75.6,66.2,72.6
S0334,David Taylor,10,56.5,66.4,59.8,69.6,54.8
S0335,Olivia Wilson,9,44.6,23.9,44.9,27.8,36.3
S0336,Olivia Lee,9,65.6,58.8,53.1,63.3,75.6
S0337,Ava Smith,9,64.6,46.9,63.0,78.3,57.4
S0338,David Davis,10,61.0,54.6,69.8,64.7,66.1
S0339,David Smith,8,61.0,63.1,52.8,50.2,43.9
S0340,David Clark,8,53.2,57.9,54.9,61.6,70.5
S0341,Ava Wilson,9,62.7,62.2,65.0,61.0,60.9
S0342,Olivia Clark,9,80.2,66.5,76.8,61.3,80.9
S0343,Emma Taylor,9,67.5,58.8,60.4,66.1,59.5
S0344,Sarah Lee,10,51.0,61.3,66.6,67.8,63.7
S0345,Sarah Taylor,9,60.0,74.7,63.2,64.4,72.2
S0346,Olivia Taylor,8,35.5,13.7,24.0,31.6,31.0
S0347,Olivia Clark,8,86.8,66.4,88.8,65.3,81.8
S0348,John Brown,10,50.1,66.7,60.6,64.2,59.3
S0349,Ava Lee,8,68.3,65.2,61.5,61.5,72.3
S0350,John Smith,9,69.8,84.0,80.2,72.7,77.7
S0351,David Lee,9,29.1,36.3,34.7,49.3,37.0
S0352,Emma Wilson,10,30.9,31.4,30.7,37.6,30.1
S0353,Emma Lee,10,66.4,65.6,69.6,74.4,70.2
S0354,John Lee,9,61.0,63.3,65.0,72.4,56.7
S0355,Sarah Johnson,8,68.2,77.3,69.5,74.3,70.1
S0356,Ava Lee,9,53.7,52.1,39.1,54.7,58.4
S0357,Ava Taylor,9,64.3,75.5,91.1,78.2,71.7
S0358,Olivia Taylor,8,86.6,81.8,79.1,78.2,79.9
S0359,David Johnson,9,79.2,85.6,77.8,76.7,74.2
S0360,Emma Lee,8,68.0,58.8,50.2,64.0,56.3
S0361,Emma Clark,9,19.4,39.3,27.9,28.6,30.6
S0362,Noah Smith,10,80.1,87.6,72.3,67.1,69.7
S0363,Noah Smith,10,90.4,84.4,96.7,86.1,100.0
S0364,Ava Smith,8,67.5,74.0,71.0,74.1,84.2
S0365,Sarah Davis,10,51.4,48.7,57.4,36.2,53.5
S0366,Ava Johnson,8,75.3,74.1,71.0,80.2,85.6
S0367,Olivia Taylor,9,93.9,86.0,75.5,86.9,63.3
S0368,Emma Davis,8,100.0,92.2,88.4,100.0,69.9
S0369,Ava Brown,8,38.1,53.3,61.7,48.3,48.2
S0370,Ava Clark,8,81.7,52.8,46.7,57.5,50.7
S0371,Noah Taylor,8,70.0,69.6,66.8,68.5,75.5
S0372,Ava Brown,10,74.2,83.5,50.7,68.0,68.0
S0373,Noah Brown,8,55.3,46.1,38.8,49.1,54.9
S0374,David Brown,9,64.1,65.8,65.5,65.5,62.9
S0375,Michael Wilson,10,78.6,86.1,61.7,73.3,77.9
S0376,Olivia Wilson,10,65.9,69.1,60.9,51.0,66.9
S0377,John Clark,10,73.3,73.5,52.8,76.3,71.7
S0378,David Johnson,8,63.1,60.2,53.1,55.1,57.1
S0379,Ava Johnson,10,98.6,86.5,98.7,88.8,100.0
S0380,Emma Davis,9,51.6,49.6,54.2,39.6,50.2
S0381,Emma Lee,8,54.7,44.9,57.5,51.3,70.2
S0382,Olivia Clark,9,74.3,64.9,57.6,63.3,59.3
S0383,Michael Taylor,10,84.1,81.8,67.2,79.4,85.4
S0384,David Johnson,9,47.3,56.2,32.3,45.3,41.0
S0385,Emma Johnson,8,39.1,45.1,44.1,55.9,41.8
S0386,Ava Clark,10,24.4,14.1,39.7,38.7,37.9
S0387,John Davis,10,61.4,65.2,73.1,73.6,63.5
S0388,Noah Clark,10,42.5,69.4,52.6,59.1,26.2
S0389,Sarah Smith,10,65.5,66.2,53.3,63.8,34.7
S0390,Michael Taylor,10,83.8,69.5,76.2,75.7,86.2
S0391,Olivia Davis,9,53.9,59.9,52.6,63.2,65.0
S0392,John Smith,8,80.5,63.2,67.5,77.7,84.2
S0393,Sarah Lee,9,71.6,49.8,76.9,65.8,60.5
S0394,John Davis,8,78.1,73.4,62.1,64.5,65.8
S0395,David Smith,9,66.4,73.7,71.1,66.3,69.6
S0396,John Johnson,9,66.9,39.4,64.0,52.1,54.4
S0397,Ava Taylor,10,62.2,53.5,51.0,68.9,54.6
S0398,Sarah Brown,8,83.1,82.2,76.9,81.9,95.3
S0399,Olivia Johnson,8,69.0,68.4,67.5,80.8,89.6
S0400,Michael Johnson,10,35.9,46.2,41.3,53.6,46.9
S0401,John Brown,8,64.1,66.2,63.1,85.5,75.8
S0402,David Clark,9,53.1,53.8,52.8,57.7,37.7
S0403,Ava Taylor,10,81.7,78.5,93.3,79.7,100.0
S0404,David Smith,9,100.0,94.9,85.9,85.6,82.4
S0405,Sarah Clark,9,61.3,56.3,63.1,65.2,67.7
S0406,John Clark,10,57.9,59.2,68.6,54.7,71.8
S0407,Ava Brown,9,66.1,65.4,54.9,59.8,57.4
S0408,Noah Taylor,10,88.5,89.6,73.6,86.9,77.4
S0409,John Smith,9,60.0,62.0,76.7,63.2,47.9
S0410,Ava Clark,8,73.7,73.7,69.9,85.3,77.9
S0411,John Davis,9,64.6,79.5,69.9,80.8,78.5
S0412,Emma Davis,8,51.0,48.2,57.9,76.0,65.7
S0413,David Smith,10,47.0,51.6,44.7,57.0,53.9
S0414,Ava Clark,9,31.1,36.6,36.7,46.5,45.2
S0415,Noah Smith,9,49.3,38.1,40.0,38.1,38.7
S0416,Emma Wilson,9,18.2,39.4,32.6,45.0,42.2
S0417,Sarah Wilson,9,66.5,68.1,84.6,73.1,70.1
S0418,Noah Taylor,8,90.0,96.9,99.0,89.2,90.5
S0419,Noah Wilson,8,81.6,77.8,92.4,98.5,88.2
S0420,John Clark,9,42.6,41.8,30.6,48.6,40.4
